id,name,description
C006,인공지능,"머신러닝, 딥러닝 및 AI 모델링"
C007,클라우드,"AWS, Azure, GCP 인프라 구축"
C008,정보보안,"해킹 방지, 보안 관제 및 암호학"
C009,모바일개발,"iOS, 안드로이드 앱 개발"
C010,데이터베이스,"SQL, NoSQL 및 DB 설계"
C011,웹프론트엔드,"HTML, CSS, React, Vue.js"
C012,웹백엔드,"Node.js, Spring, Django"
C013,네트워크,TCP/IP 및 서버 네트워크 구축
C014,운영체제,"Linux, Windows 서버 관리"
C015,게임개발,"Unity, Unreal Engine 게임 제작"
C016,블록체인,가상화폐 및 스마트 컨트랙트
C017,데브옵스,"CI/CD, Docker 및 Kubernetes"
C018,사물인터넷,IoT 하드웨어 제어 및 센서
C019,임베디드,펌웨어 및 마이크로프로세서
C020,UI/UX 디자인,사용자 경험 설계 및 프로토타입
